Date,Store_ID,Product_ID,Category,Units_Sold,Price,Discount,Promotion,Holiday,Temperature,Fuel_Price,Unemployment,Sales
2023-02-10,S015,P086,Furniture,114,96.71,0.05,1,0,28.9,3.6,6.42,10473.69
2023-02-11,S007,P002,Clothing,191,272.93,0.2,0,0,30.4,4.16,4.7,41703.7
2023-02-12,S012,P088,Furniture,161,324.56,0.05,1,0,25.2,3.06,7.41,49641.45
2023-02-13,S008,P072,Furniture,108,27.56,0.2,0,0,30.4,3.6,5.22,2381.18
2023-02-14,S015,P011,Grocery,81,473.26,0.0,0,0,33.3,4.2,6.96,38334.06
2023-02-15,S003,P064,Electronics,150,421.87,0.05,0,0,27.1,3.78,7.31,60116.48
2023-02-16,S014,P077,Toys,6,151.82,0.0,1,0,25.7,3.83,7.03,910.92
2023-02-17,S017,P081,Electronics,12,43.21,0.0,1,0,23.8,3.15,4.23,518.52
2023-02-18,S004,P072,Toys,79,89.09,0.05,0,0,29.1,3.2,6.28,6686.2
2023-02-19,S018,P021,Electronics,186,67.84,0.0,1,0,33.2,4.02,4.42,12618.24
2023-02-20,S008,P018,Furniture,129,66.03,0.05,1,0,24.9,4.01,4.02,8091.98
2023-02-21,S004,P094,Clothing,42,261.69,0.05,0,1,25.9,4.47,4.18,10441.43
2023-02-22,S002,P064,Clothing,180,126.69,0.05,0,0,26.1,4.07,7.21,21663.99
2023-02-23,S006,P082,Grocery,31,182.28,0.1,1,0,28.4,3.74,7.18,5085.61
2023-02-24,S010,P095,Toys,24,494.81,0.0,0,0,23.4,4.29,4.79,11875.44
2023-02-25,S004,P038,Toys,144,343.74,0.15,0,0,32.3,3.16,5.91,42073.78
2023-02-26,S018,P032,Toys,47,474.75,0.05,1,0,24.4,3.67,7.34,21197.59
2023-02-27,S012,P011,Furniture,193,75.57,0.0,1,0,30.6,3.43,5.74,14585.01
2023-02-28,S002,P045,Toys,35,194.16,0.2,0,0,27.7,3.16,5.38,5436.48
2023-03-01,S010,P089,Clothing,95,279.59,0.05,1,0,28.8,4.15,5.69,25233.0
2023-03-02,S004,P033,Furniture,65,43.0,0.05,0,0,22.7,3.77,6.77,2655.25
2023-03-03,S014,P041,Electronics,199,7.07,0.15,0,0,31.0,3.84,5.67,1195.89
2023-03-04,S016,P008,Toys,113,336.86,0.1,1,0,22.8,3.62,6.74,34258.66
2023-03-05,S015,P011,Toys,95,322.7,0.1,0,0,21.7,3.69,5.51,27590.85
2023-03-06,S008,P086,Electronics,167,208.34,0.05,0,0,28.2,3.17,4.88,33053.14
2023-03-07,S014,P051,Toys,99,247.37,0.0,0,0,30.6,4.01,5.14,24489.63
2023-03-08,S008,P088,Electronics,147,210.64,0.2,1,0,20.8,3.65,4.27,24771.26
2023-03-09,S016,P041,Furniture,148,16.88,0.2,1,0,21.0,4.23,5.74,1998.59
2023-03-10,S013,P017,Clothing,17,171.01,0.0,1,0,32.0,3.29,4.52,2907.17
2023-03-11,S018,P076,Electronics,117,92.66,0.05,0,0,32.1,3.31,6.84,10299.16
2023-03-12,S015,P046,Grocery,39,53.72,0.2,0,1,23.7,3.97,5.47,1676.06
2023-03-13,S013,P032,Electronics,191,478.58,0.1,1,0,29.2,4.27,6.68,82267.9
2023-03-14,S009,P079,Toys,153,301.68,0.0,1,0,26.6,3.71,7.34,46157.04
2023-03-15,S015,P080,Furniture,186,365.68,0.15,1,0,29.5,4.09,6.97,57814.01
2023-03-16,S013,P054,Furniture,162,161.11,0.05,0,0,32.9,4.5,7.33,24794.83
2023-03-17,S001,P086,Electronics,52,199.61,0.0,1,0,21.2,4.49,5.99,10379.72
2023-03-18,S007,P092,Clothing,39,122.28,0.2,0,0,31.7,4.12,4.58,3815.14
2023-03-19,S009,P020,Grocery,90,53.0,0.05,1,0,27.4,4.11,7.27,4531.5
2023-03-20,S001,P033,Furniture,170,93.62,0.1,0,0,28.5,3.37,7.04,14323.86
2023-03-21,S012,P074,Toys,163,399.77,0.05,0,0,29.8,4.25,7.03,61904.38
2023-03-22,S008,P040,Toys,156,340.39,0.05,1,0,33.8,3.61,6.43,50445.8
2023-03-23,S011,P032,Clothing,118,275.73,0.1,0,0,20.9,4.44,6.19,29282.53
2023-03-24,S019,P097,Furniture,181,240.17,0.1,1,0,20.4,3.12,4.05,39123.69
2023-03-25,S017,P002,Electronics,104,461.6,0.05,0,0,22.7,3.65,6.62,45606.08
2023-03-26,S008,P097,Toys,164,41.0,0.1,0,0,34.8,3.83,4.32,6051.6
2023-03-27,S003,P033,Clothing,187,143.9,0.0,1,0,30.7,3.61,4.91,26909.3
2023-03-28,S003,P077,Furniture,190,178.22,0.1,0,0,29.2,3.32,5.93,30475.62
2023-03-29,S001,P030,Furniture,103,392.3,0.1,1,0,20.7,3.89,5.58,36366.21
2023-03-30,S005,P033,Furniture,7,496.29,0.05,1,0,33.2,4.13,4.06,3300.33
2023-03-31,S010,P077,Furniture,89,124.13,0.0,1,0,32.2,3.97,6.88,11047.57
2023-04-01,S007,P026,Furniture,129,437.78,0.15,0,1,30.0,3.35,7.08,48002.58
2023-04-02,S009,P022,Toys,142,416.16,0.15,0,0,25.1,4.1,6.39,50230.51
2023-04-03,S007,P066,Clothing,87,116.21,0.2,0,0,21.1,3.39,5.89,8088.22
2023-04-04,S009,P038,Furniture,29,202.67,0.1,1,0,28.7,3.26,7.36,5289.69
2023-04-05,S008,P090,Grocery,72,207.79,0.1,1,0,30.8,4.04,4.42,13464.79
2023-04-06,S012,P046,Grocery,65,489.22,0.0,0,0,21.4,4.26,6.58,31799.3
2023-04-07,S002,P015,Clothing,33,94.54,0.15,0,0,29.5,3.72,4.45,2651.85
2023-04-08,S001,P098,Electronics,131,400.58,0.2,1,0,24.3,3.8,5.34,41980.78
2023-04-09,S016,P044,Electronics,23,170.43,0.0,0,0,31.5,3.45,6.05,3919.89
2023-04-10,S005,P049,Electronics,175,366.78,0.1,1,1,28.1,3.74,6.58,57767.85
2023-04-11,S003,P075,Grocery,198,212.91,0.15,0,0,21.9,3.2,4.01,35832.75
2023-04-12,S012,P061,Electronics,78,291.29,0.2,1,0,27.9,4.43,4.91,18176.5
2023-04-13,S008,P067,Toys,65,417.14,0.05,0,0,25.9,4.2,5.88,25758.39
2023-04-14,S003,P006,Furniture,175,403.06,0.15,0,0,22.7,4.0,5.87,59955.18
2023-04-15,S001,P009,Grocery,157,433.88,0.2,1,0,32.6,3.81,6.23,54495.33
2023-04-16,S003,P006,Clothing,24,34.51,0.0,1,0,20.2,4.19,5.06,828.24
2023-04-17,S005,P073,Clothing,52,347.57,0.05,1,0,24.7,3.74,5.89,17169.96
2023-04-18,S015,P095,Furniture,91,74.29,0.2,0,0,20.2,3.45,4.66,5408.31
2023-04-19,S014,P032,Grocery,156,210.83,0.2,1,0,21.4,3.24,4.65,26311.58
2023-04-20,S003,P041,Electronics,143,276.55,0.1,1,0,24.5,3.97,6.02,35591.98
2023-04-21,S001,P076,Electronics,114,204.36,0.15,0,0,20.8,4.39,6.4,19802.48
2023-04-22,S005,P008,Toys,187,262.21,0.1,1,0,28.9,3.23,4.42,44129.94
2023-04-23,S014,P072,Toys,32,498.28,0.05,1,0,21.3,3.27,4.43,15147.71
2023-04-24,S007,P050,Electronics,195,71.93,0.2,1,0,30.5,3.65,5.98,11221.08
2023-04-25,S009,P092,Clothing,63,339.35,0.1,0,0,20.8,4.21,4.95,19241.15
2023-04-26,S015,P062,Clothing,137,201.02,0.15,0,0,20.9,3.44,5.37,23408.78
2023-04-27,S015,P084,Toys,55,70.84,0.05,0,0,24.6,3.38,5.4,3701.39
2023-04-28,S010,P062,Furniture,153,83.57,0.0,1,0,33.4,3.93,4.62,12786.21
2023-04-29,S013,P007,Electronics,16,474.89,0.1,0,0,29.6,3.8,4.0,6838.42
2023-04-30,S019,P075,Toys,54,440.4,0.05,1,0,31.6,3.09,6.99,22592.52
2023-05-01,S007,P084,Toys,136,453.99,0.0,1,0,22.1,3.12,6.5,61742.64
2023-05-02,S017,P080,Electronics,117,495.81,0.1,1,0,32.5,3.96,6.42,52208.79
2023-05-03,S020,P004,Electronics,174,108.12,0.05,0,0,20.1,3.7,5.91,17872.24
2023-05-04,S004,P006,Clothing,170,180.94,0.05,0,0,23.2,4.46,6.45,29221.81
2023-05-05,S005,P058,Furniture,157,336.26,0.1,1,1,29.2,4.02,7.27,47513.54
2023-05-06,S007,P022,Furniture,18,244.48,0.05,1,0,25.6,3.02,6.33,4180.61
2023-05-07,S013,P026,Electronics,36,212.1,0.2,0,0,34.8,3.72,4.93,6108.48
2023-05-08,S015,P003,Grocery,143,182.12,0.1,0,0,20.5,3.62,6.0,23438.84
2023-05-09,S011,P041,Toys,193,298.92,0.05,0,0,35.0,3.16,5.55,54806.98
2023-05-10,S004,P060,Toys,150,289.92,0.0,1,0,29.4,4.38,5.95,43488.0
2023-05-11,S013,P014,Electronics,159,84.92,0.0,0,0,28.4,4.21,5.81,13502.28
2023-05-12,S007,P075,Grocery,59,238.51,0.2,0,0,20.9,3.35,7.01,11257.67
2023-05-13,S019,P082,Clothing,186,278.97,0.1,0,0,24.1,3.38,6.28,46699.58
2023-05-14,S002,P012,Electronics,124,287.29,0.05,1,0,33.9,3.05,4.66,33842.76
2023-05-15,S010,P087,Electronics,79,109.0,0.05,0,0,25.3,3.45,4.22,8180.45
2023-05-16,S013,P012,Toys,25,372.42,0.0,1,1,29.9,3.88,5.49,9310.5
2023-05-17,S006,P013,Electronics,176,17.47,0.2,1,0,35.0,3.63,4.05,2459.78
2023-05-18,S012,P025,Electronics,137,180.64,0.0,1,0,23.9,4.45,5.11,24747.68
2023-05-19,S012,P045,Electronics,91,391.21,0.0,0,0,28.6,3.08,5.29,35600.11
2023-05-20,S020,P019,Toys,173,284.13,0.2,0,0,30.4,3.89,5.31,39323.59
2023-05-21,S011,P055,Clothing,63,134.28,0.1,0,1,22.5,4.29,7.43,7613.68
2023-05-22,S007,P100,Clothing,93,349.0,0.05,1,0,22.2,3.72,5.06,30834.15
2023-05-23,S001,P045,Electronics,186,285.86,0.1,0,0,26.8,3.0,4.93,47852.96
2023-05-24,S001,P008,Toys,154,399.14,0.15,1,0,25.8,3.36,4.45,52247.43
2023-05-25,S020,P093,Clothing,87,368.84,0.15,0,0,30.7,3.49,5.79,27275.72
2023-05-26,S013,P053,Clothing,69,307.0,0.15,0,0,21.0,4.45,4.54,18005.55
2023-05-27,S009,P055,Clothing,68,246.65,0.2,0,0,34.6,4.37,6.16,13417.76
2023-05-28,S003,P032,Toys,75,70.93,0.0,0,1,20.2,4.42,4.54,5319.75
2023-05-29,S007,P051,Toys,8,134.36,0.1,1,1,29.0,4.24,6.02,967.39
2023-05-30,S006,P044,Electronics,197,212.45,0.05,1,1,28.4,3.53,6.89,39760.02
2023-05-31,S008,P082,Furniture,147,301.65,0.15,1,0,22.0,4.36,4.15,37691.17
2023-06-01,S009,P070,Clothing,108,259.29,0.1,1,0,22.3,4.47,5.47,25202.99
2023-06-02,S005,P018,Furniture,154,147.65,0.15,0,0,31.9,3.53,5.61,19327.39
2023-06-03,S001,P083,Toys,179,8.2,0.15,1,0,33.3,3.39,6.77,1247.63
2023-06-04,S019,P022,Toys,97,250.64,0.05,1,0,24.2,3.82,5.64,23096.48
2023-06-05,S010,P037,Toys,178,146.38,0.2,1,0,26.6,3.28,5.99,20844.51
2023-06-06,S012,P096,Furniture,146,368.63,0.0,0,0,25.3,3.05,6.77,53819.98
2023-06-07,S015,P056,Toys,182,16.85,0.2,1,0,21.1,4.42,5.96,2453.36
2023-06-08,S009,P059,Electronics,152,294.49,0.1,1,1,30.1,4.39,5.25,40286.23
2023-06-09,S020,P003,Toys,182,471.03,0.2,0,0,32.4,3.24,4.3,68581.97
2023-06-10,S017,P028,Grocery,116,91.33,0.1,0,1,24.6,3.61,6.55,9534.85
2023-06-11,S017,P074,Furniture,165,238.47,0.1,1,0,34.9,4.25,7.05,35412.8
2023-06-12,S020,P035,Grocery,123,50.25,0.0,1,0,21.1,3.99,7.4,6180.75
2023-06-13,S012,P061,Toys,63,314.71,0.05,0,0,29.9,3.59,7.24,18835.39
2023-06-14,S007,P093,Electronics,47,277.51,0.0,1,0,26.7,4.12,6.79,13042.97
2023-06-15,S002,P054,Clothing,16,206.65,0.2,0,1,26.7,4.35,6.25,2645.12
2023-06-16,S003,P063,Toys,44,263.08,0.1,1,0,26.9,4.39,6.74,10417.97
2023-06-17,S017,P079,Electronics,122,448.8,0.15,1,0,23.9,3.57,5.51,46540.56
2023-06-18,S005,P097,Furniture,24,102.17,0.15,1,0,30.7,3.26,6.08,2084.27
2023-06-19,S017,P007,Grocery,170,16.17,0.1,1,0,30.8,4.37,5.22,2474.01
2023-06-20,S017,P076,Grocery,135,431.52,0.0,1,0,24.2,3.14,5.14,58255.2
2023-06-21,S017,P049,Grocery,160,290.67,0.05,0,1,32.5,4.08,6.65,44181.84
2023-06-22,S002,P094,Furniture,188,445.88,0.0,0,0,24.8,3.21,5.59,83825.44
2023-06-23,S002,P085,Electronics,94,300.49,0.1,1,0,30.9,3.58,4.74,25421.45
2023-06-24,S005,P031,Furniture,98,406.03,0.1,1,0,21.8,3.62,4.71,35811.85
2023-06-25,S001,P058,Grocery,17,217.69,0.05,1,0,22.5,3.24,7.01,3515.69
2023-06-26,S001,P061,Toys,70,376.18,0.2,0,0,24.7,4.38,6.37,21066.08
2023-06-27,S019,P024,Clothing,41,456.96,0.2,0,1,28.9,3.0,5.91,14988.29
2023-06-28,S002,P020,Furniture,181,288.2,0.05,0,0,29.7,4.34,5.4,49555.99
2023-06-29,S012,P037,Furniture,70,94.49,0.2,0,0,25.9,4.33,5.51,5291.44
2023-06-30,S006,P004,Electronics,40,138.05,0.15,0,0,21.2,3.48,4.2,4693.7
2023-07-01,S004,P092,Electronics,186,103.33,0.2,0,0,25.6,4.06,5.59,15375.5
2023-07-02,S011,P020,Furniture,30,127.19,0.2,0,0,30.3,3.38,6.78,3052.56
2023-07-03,S017,P060,Grocery,79,156.68,0.2,0,0,30.1,4.14,5.36,9902.18
2023-07-04,S006,P024,Clothing,112,279.79,0.15,1,0,22.4,3.84,5.34,26636.01
2023-07-05,S005,P050,Electronics,172,296.06,0.2,0,0,20.1,3.45,4.06,40737.86
2023-07-06,S020,P049,Grocery,47,216.12,0.15,0,0,31.3,3.6,5.6,8633.99
2023-07-07,S002,P051,Toys,154,309.63,0.05,0,0,21.6,4.03,4.09,45298.87
2023-07-08,S006,P096,Electronics,152,45.38,0.0,0,0,21.2,4.36,6.0,6897.76
2023-07-09,S011,P036,Grocery,12,48.46,0.05,1,0,20.0,3.2,5.77,552.44
2023-07-10,S016,P098,Grocery,33,90.06,0.0,0,0,26.5,3.86,6.94,2971.98
2023-07-11,S016,P100,Clothing,44,261.45,0.05,1,0,27.5,3.38,6.04,10928.61
2023-07-12,S001,P066,Clothing,162,110.93,0.0,1,0,29.6,4.2,5.13,17970.66
2023-07-13,S009,P079,Toys,132,145.23,0.0,1,0,24.4,3.11,5.81,19170.36
2023-07-14,S006,P034,Grocery,88,203.15,0.1,0,1,30.7,4.03,6.45,16089.48
2023-07-15,S016,P036,Grocery,120,406.87,0.0,0,0,22.5,3.26,4.33,48824.4
2023-07-16,S003,P006,Clothing,187,11.86,0.0,0,0,32.5,3.89,6.17,2217.82
2023-07-17,S020,P039,Electronics,148,326.44,0.1,1,1,28.6,4.25,7.21,43481.81
2023-07-18,S004,P042,Electronics,178,336.09,0.2,1,0,28.8,4.13,5.05,47859.22
2023-07-19,S019,P058,Furniture,66,400.33,0.2,1,0,23.1,4.13,6.19,21137.42
2023-07-20,S003,P012,Clothing,11,466.71,0.1,1,0,21.1,3.78,6.87,4620.43
2023-07-21,S019,P003,Furniture,49,14.97,0.15,0,0,27.0,4.34,5.79,623.5
2023-07-22,S020,P018,Clothing,191,81.12,0.0,0,0,29.2,3.88,6.51,15493.92
2023-07-23,S007,P040,Toys,188,443.65,0.0,0,0,21.4,4.38,5.09,83406.2
2023-07-24,S020,P021,Grocery,180,231.97,0.1,1,0,34.3,3.82,5.07,37579.14
2023-07-25,S009,P015,Toys,159,284.47,0.1,1,1,34.7,3.76,6.34,40707.66
2023-07-26,S001,P097,Clothing,185,333.2,0.15,0,0,28.2,3.33,6.47,52395.7
2023-07-27,S008,P099,Grocery,92,341.14,0.2,0,0,34.3,3.82,7.28,25107.9
2023-07-28,S007,P026,Electronics,77,466.21,0.05,1,0,22.7,3.21,4.79,34103.26
2023-07-29,S018,P008,Electronics,167,498.49,0.2,0,0,20.4,4.3,5.64,66598.26
2023-07-30,S008,P100,Furniture,183,361.48,0.0,0,0,20.6,4.01,4.88,66150.84
2023-07-31,S001,P094,Clothing,41,147.17,0.1,1,0,28.8,4.49,4.28,5430.57
2023-08-01,S011,P087,Clothing,123,440.48,0.15,1,0,20.9,3.14,5.41,46052.18
2023-08-02,S018,P042,Electronics,61,29.36,0.2,1,0,34.4,3.36,5.31,1432.77
2023-08-03,S010,P044,Toys,12,119.39,0.15,0,0,22.1,4.32,4.95,1217.78
2023-08-04,S003,P014,Grocery,99,449.21,0.2,1,0,24.6,3.59,5.04,35577.43
2023-08-05,S007,P078,Toys,121,131.81,0.0,0,0,32.3,3.7,5.26,15949.01
2023-08-06,S016,P002,Toys,114,114.22,0.05,0,0,23.3,4.29,7.46,12370.03
2023-08-07,S016,P037,Electronics,24,73.37,0.15,1,0,23.6,3.78,6.74,1496.75
2023-08-08,S020,P069,Electronics,128,430.26,0.15,0,0,29.6,3.29,4.25,46812.29
2023-08-09,S017,P038,Electronics,57,252.53,0.05,1,0,24.1,4.34,7.05,13674.5
2023-08-10,S002,P041,Furniture,123,339.07,0.15,1,0,23.3,3.05,6.22,35449.77
2023-08-11,S001,P062,Toys,16,123.34,0.15,0,0,23.8,4.34,7.12,1677.42
2023-08-12,S016,P060,Clothing,181,380.23,0.2,0,0,27.4,3.08,5.2,55057.3
2023-08-13,S012,P014,Grocery,21,381.2,0.2,1,0,34.5,4.0,5.63,6404.16
2023-08-14,S005,P089,Furniture,68,159.74,0.05,1,0,32.5,3.11,7.14,10319.2
2023-08-15,S005,P084,Clothing,46,208.29,0.0,1,0,24.3,4.06,4.95,9581.34
2023-08-16,S009,P002,Toys,98,108.8,0.15,1,0,25.5,3.05,7.2,9063.04
2023-08-17,S009,P070,Electronics,161,488.4,0.0,1,0,27.0,4.26,6.9,78632.4
2023-08-18,S003,P017,Toys,151,324.57,0.05,1,0,34.7,3.7,7.43,46559.57
2023-08-19,S019,P089,Grocery,15,467.6,0.05,0,0,22.6,3.14,5.13,6663.3
2023-08-20,S016,P028,Furniture,102,155.18,0.2,0,0,25.4,4.06,4.83,12662.69
2023-08-21,S016,P066,Furniture,182,392.04,0.15,0,0,30.9,3.73,5.16,60648.59
2023-08-22,S003,P035,Grocery,75,384.1,0.1,0,0,34.5,3.29,7.34,25926.75
2023-08-23,S020,P005,Clothing,112,347.37,0.05,1,0,22.3,3.02,5.17,36960.17
2023-08-24,S001,P065,Clothing,62,482.99,0.15,0,0,23.4,3.63,5.98,25453.57
2023-08-25,S020,P040,Furniture,38,199.81,0.0,0,0,23.4,3.13,5.41,7592.78
2023-08-26,S011,P076,Furniture,24,69.71,0.2,1,0,20.3,3.14,5.39,1338.43
2023-08-27,S017,P056,Electronics,54,337.5,0.0,0,0,29.1,3.4,4.68,18225.0
2023-08-28,S008,P036,Clothing,106,366.01,0.05,1,0,30.1,3.95,5.88,36857.21
2023-08-29,S004,P045,Grocery,142,289.65,0.05,1,0,29.0,3.79,6.97,39073.78
2023-08-30,S006,P023,Clothing,164,107.37,0.0,1,0,21.1,3.1,4.17,17608.68
2023-08-31,S008,P047,Electronics,56,254.71,0.05,1,0,21.0,4.45,7.11,13550.57
2023-09-01,S020,P031,Furniture,19,159.53,0.15,1,0,23.2,4.33,6.33,2576.41
2023-09-02,S003,P011,Furniture,88,216.6,0.05,0,1,24.4,3.39,6.16,18107.76
2023-09-03,S016,P010,Electronics,135,324.38,0.2,0,0,31.8,3.18,6.19,35033.04
2023-09-04,S003,P067,Grocery,41,373.88,0.15,0,0,22.4,4.41,5.04,13029.72
2023-09-05,S018,P014,Furniture,130,119.95,0.1,1,0,20.7,3.69,5.45,14034.15
2023-09-06,S014,P080,Toys,44,205.64,0.05,0,0,25.9,3.47,6.8,8595.75
2023-09-07,S018,P074,Furniture,76,138.23,0.05,0,0,26.2,3.74,5.07,9980.21
2023-09-08,S002,P093,Toys,44,103.32,0.2,0,0,26.8,4.16,5.65,3636.86
2023-09-09,S003,P010,Electronics,60,392.78,0.2,0,0,32.4,3.25,4.07,18853.44
2023-09-10,S016,P076,Electronics,155,455.08,0.0,1,0,21.5,4.15,6.57,70537.4
2023-09-11,S009,P094,Furniture,108,188.26,0.0,0,0,30.6,4.12,5.46,20332.08
2023-09-12,S004,P001,Clothing,143,376.88,0.0,1,0,25.1,3.81,5.84,53893.84
2023-09-13,S001,P005,Toys,114,449.01,0.2,1,1,24.6,4.3,4.4,40949.71
2023-09-14,S004,P020,Grocery,196,423.83,0.0,0,0,34.0,3.2,7.47,83070.68
2023-09-15,S001,P008,Furniture,140,95.49,0.0,1,0,23.7,3.89,5.06,13368.6
2023-09-16,S014,P043,Grocery,97,478.36,0.1,1,0,29.6,3.67,6.22,41760.83
2023-09-17,S016,P076,Furniture,98,191.45,0.0,1,0,24.1,3.63,6.03,18762.1
2023-09-18,S020,P001,Clothing,60,172.92,0.05,1,0,27.6,3.38,6.75,9856.44
2023-09-19,S008,P057,Clothing,64,35.9,0.2,1,0,31.8,3.56,5.03,1838.08
2023-09-20,S007,P064,Clothing,142,245.66,0.15,1,0,33.2,3.16,6.65,29651.16
2023-09-21,S003,P084,Clothing,43,58.96,0.1,1,0,32.6,3.38,5.34,2281.75
2023-09-22,S017,P028,Electronics,32,128.03,0.2,0,0,28.7,3.41,5.44,3277.57
2023-09-23,S001,P037,Electronics,53,161.89,0.2,0,0,23.7,4.08,6.35,6864.14
2023-09-24,S016,P047,Toys,168,405.37,0.05,1,1,29.9,3.07,6.75,64697.05
2023-09-25,S012,P076,Grocery,129,438.37,0.0,1,0,30.6,3.98,6.33,56549.73
2023-09-26,S019,P037,Furniture,17,154.72,0.05,0,0,20.2,3.33,7.15,2498.73
2023-09-27,S014,P049,Furniture,40,430.06,0.0,0,0,26.6,3.12,5.0,17202.4
2023-09-28,S006,P044,Electronics,105,429.33,0.0,0,0,32.6,3.45,7.15,45079.65
2023-09-29,S006,P056,Furniture,30,383.5,0.2,0,0,27.3,3.34,4.46,9204.0
2023-09-30,S013,P028,Electronics,90,77.61,0.0,1,0,24.7,3.83,6.31,6984.9
2023-10-01,S019,P079,Toys,8,346.71,0.1,1,0,33.1,3.54,5.92,2496.31
2023-10-02,S008,P006,Grocery,86,472.79,0.1,0,0,22.3,4.45,5.73,36593.95
2023-10-03,S002,P061,Toys,196,342.86,0.1,0,0,23.1,4.45,5.09,60480.5
2023-10-04,S001,P020,Clothing,170,169.15,0.2,0,0,30.3,3.67,5.76,23004.4
2023-10-05,S015,P078,Clothing,131,252.79,0.05,0,0,25.3,4.19,4.57,31459.72
2023-10-06,S001,P002,Clothing,92,324.63,0.15,1,0,30.7,3.02,5.29,25386.07
2023-10-07,S005,P073,Toys,131,257.73,0.0,0,0,22.4,3.82,4.35,33762.63
2023-10-08,S016,P037,Furniture,124,64.38,0.15,0,0,23.8,4.11,6.0,6785.65
2023-10-09,S019,P020,Grocery,26,159.47,0.05,0,1,22.3,3.33,4.34,3938.91
2023-10-10,S004,P026,Clothing,134,402.19,0.05,1,1,34.3,3.09,4.56,51198.79
2023-10-11,S003,P029,Clothing,35,431.4,0.2,1,0,26.1,3.23,4.3,12079.2
